Título Original,Duración,Género,Sinopsis
Libertad,104,Drama,"La familia Vidal pasa en su casa de verano las últimas vacaciones de la abuela Ángela, que sufre Alzheimer avanzado. Por primera vez en su vida, Nora, de 14 años, siente que no encuentra su lugar. Los juegos de niños le parecen ridículos y las conversaciones de los adultos todavía le van grandes. Pero todo cambia con la llegada de Libertad, de 15 años e hija de Rosana, la mujer colombiana que cuida a Ángela. Rebelde y magnética, Libertad se convierte en la puerta de entrada a un verano distinto para Nora, y las dos chicas rápidamente forjan una amistad intensa y desigual. Juntas salen de la burbuja de protección y confort que supone la casa familiar, descubriendo un mundo nuevo en el que Nora se siente más libre que nunca. (FILMAFFINITY)"
Living,102,Drama,"Londres, en la década de los 1950. Williams es un veterano funcionario enterrado bajo el papeleo de la oficina mientras la ciudad se reconstruye después de la II Guerra Mundial. Al recibir un demoledor diagnóstico médico, vacía su cuenta de ahorros y se dirige a la costa. Se promete hacer de sus últimos días un tiempo significativo, pero se percata de que no sabe cómo hacerlo. Después de que un misterioso desconocido lo lleve a la ciudad, Williams se siente intrigado por una joven compañera de trabajo que parece poseer la vitalidad que él había perdido. Con la ayuda de su optimista colega, Williams pone todo su empeño en hacer feliz, de un modo sorprendente, a su entorno... Adaptación en inglés del guion de 'Ikiru' (1952). (FILMAFFINITY)"
Hotel Mumbai,125,"Thriller, Drama","Mumbai, año 2008. Un grupo de terroristas paquistaníes invade el lugar y mantiene a las personas como rehenes durante 68 horas. Los huéspedes y empleados del hotel Taj Mahal Palace viven momentos de terror que se alargan de forma insoportable. Desesperados, un grupo de funcionarios y huéspedes se arman de coraje para intentar revertir la situación... Basado en una historia real. (FILMAFFINITY)"
A Most Violent Year,124,"Thriller, Drama","Nueva York, año 1981 -según las estadísticas, el año con más crímenes y atracos de la historia en la ciudad-. El inmigrante hispano Abel Morales (Oscar Isaac) y su mujer Anna (Jessica Chastain) han conseguido sacar adelante con éxito su empresa de distribución y venta de gasóleo. Ahora están a punto de lograr la última pieza de su sueño americano: comprar un cotizado terreno frente al río Hudson, un enclave que les permitirá expandirse en el negocio y superar a su competencia. Pero la violencia que sufren en el transporte de sus camiones y una investigación policial amenazan con destruir todo lo que han logrado hasta ese momento."
Nymphomaniac - Volume II / Nymphomaniac (2),124,Drama,"Historia de una ninfómana contada por ella misma. Una fría noche invernal, un viejo solterón (Stellan Skarsgård) encuentra en un callejón a una joven (Charlotte Gainsbourg) herida y casi inconsciente. Después de recogerla y cuidarla, siente curiosidad por saber cómo pudo haber llegado a semejante situación; escucha atentamente el relato que ella hace de su vida, una vida llena de conflictos y turbias relaciones. Para su estreno comercial se dividirá en dos partes, aunque hay una versión completa de cinco horas y media que sólo se verá en algunos actos culturales. (FILMAFFINITY)"
Western,100,Drama,"Una cuadrilla de obreros alemanes sienta campamento en un pueblo búlgaro para levantar una central hidráulica. Molesta el descaro zafio de su despliegue, ofende la saña eficiente con que desarraigan el paisaje, y agravian con sus sudores masculinos de beberse la paga y silbar agudo al paso de las chicas. Va a estallar el conflicto..."
The Banker,120,Drama,"En los años 60, dos emprendedores (Anthony Mackie y Samuel L. Jackson) traman un ingenioso plan para conseguir acceso igualitario al sueño americano. Nicholas Hoult y Nia Long coprotagonizan este drama inspirado en hechos reales."
Minuscule: La vallée des fourmis perdues (Minuscule: Valley of the Lost Ants),82,"Animación, Aventuras, Bélico, Infantil","Adaptación cinematográfica de la serie televisiva de animación ""Minuscule"". En el tranquilo claro de un bosque, los restos de un picnic abandonados encienden la guerra entre dos tribus de hormigas. En juego está una caja de azúcar. Una intrépida mariquita se ve atrapada en medio de la batalla. Un viaje épico a ras del suelo."
Thelma,116,Drama,"Thelma no es una chica normal. Desesperada, le pregunta insistentemente a Dios por qué la ha hecho así. Sus padres tampoco son de gran ayuda, sino dos personas misteriosas que se muestran tranquilas ante los poderes que muestra su hija, que, cada vez que siente algo, causa desastres. Cuando Thelma inicie una relación con una compañera, las emociones propias del amor harán estragos. (FILMAFFINITY)"
Goksung (The Wailing),156,"Thriller, Intriga, Terror","La vida de un pueblo coreano se ve alterada por una serie de asesinatos, salvajes y misteriosos, que azota a la pequeña comunidad rural. Los rumores y las supersticiones se propagan a causa de la presencia, desde hace poco tiempo, de un anciano extranjero que vive como un ermitaño. Ante la incompetencia de la policía para encontrar al asesino y sin tener una explicación racional, algunos habitantes del pueblo buscan a un chamán. Jong-Gu, un policía cuya familia está directamente amenazada, también cree que se trata de crímenes sobrenaturales. (FILMAFFINITY)"
Licorice Pizza,133,"Comedia, Drama, Romance","Es la historia de Alana Kane y Gary Valentine, de cómo se conocen, pasan el tiempo juntos y acaban enamorándose en el Valle de San Fernando en 1973."
The Conjuring 2: The Enfield Poltergeist,133,Terror,"Secuela de la exitosa ""Expediente Warren"" (2013) que presenta un caso real de los renombrados demonólogos Ed y Lorraine Warren. Para resolverlo viajan al norte de Londres para ayudar a una madre soltera que vive con sus cuatro hijos en una casa plagada de espíritus malignos. (FILMAFFINITY)"
Waves,135,"Drama, Romance","Narra el viaje emocional de una familia afroamericana afincada en las afueras de la ciudad que, tras una grave pérdida, debe abrirse camino entre el amor, el perdón y la unión. (FILMAFFINITY)"
Rurôni Kenshin: Densetsu no Saigo-hen,135,"Acción, Drama","El duelo entre Kenshin Himura y el maligno Shishio Makoto sigue sin resolverse. El conflicto entre los dos guerreros decidirá el destino de Japón, y pondrá un bombástico punto final a la memorable adaptación cinematográfica del manga de Nobuhiro Watsuki. (FILMAFFINITY)"
Falling,112,Drama,"John Petersen (Viggo Mortensen) vive con su novio Eric (Terry Chen) y la hija adoptiva de ambos en el sur de California. Su padre Willis (Lance Henriksen) un granjero tradicional y conservador de 80 años, decide viajar a Los Ángeles y quedarse en casa de John mientras busca el lugar idóneo para jubilarse. Una vez todo juntos, dos mundos muy diferentes colisionan. Willis muestra señas de estar perdiendo la cordura, y su peculiar forma de ser, dañina para algunos miembros de la familia, saca a relucir heridas del pasado y de años de desconfianza entre sus allegados. (FILMAFFINITY)"
Les innocentes (Agnus Dei),100,Drama,"Narra la historia real de unas monjas polacas embarazadas tras ser violadas por las tropas rusas durante II Guerra Mundial. Agosto de 1945. Un monasterio cerca de Varsovia (Polonia) alberga un oscuro secreto. Mathilde Beaulieu es una joven médico enviada por la Cruz Roja con el fin de garantizar la repatriación de los prisioneros franceses heridos en la frontera entre Alemania y Polonia. Pero la sorpresa llega cuando descubre que una gran parte de las hermanas del convento están embarazadas por soldados del Ejército Rojo. Aunque Mathilde es inexperta, deberá aprender a sacar adelante esta inusual situación y ayudar a las hermanas. (FILMAFFINITY)"
45 Years,93,"Drama, Romance","Falta sólo una semana para el 45º aniversario de su boda, y Kate Mercer está muy ocupada con los preparativos de la fiesta. Pero entonces llega una carta dirigida a su marido, en la que se le notifica que, en los glaciares de los Alpes suizos, ha aparecido congelado el cadáver de su primer amor. (FILMAFFINITY)"
Judas and the Black Messiah,126,"Drama, Thriller","Historia real que gira en torno a Bill, un delincuente que se dedica a robar coches y al que, tras ser detenido, el FBI le propone la absolución de sus delitos si coopera con ellos infiltrándose en el partido ""Panteras Negras"", del líder y activista negro Fred Hampton. (FILMAFFINITY)"
Lady Macbeth,89,Drama,"La Inglaterra rural de 1865. Katherine (Florence Pugh) vive angustiada por culpa de su matrimonio con un hombre amargado al que no quiere y que le dobla la edad, y de su fría y despiadada familia. Cuando se embarca en un apasionado idilio con un joven trabajador de la finca de su marido, en su interior se desata una fuerza tan poderosa que nada le impedirá intentar conseguir lo que desea. (FILMAFFINITY)"
El ángel,117,"Thriller, Drama","Carlitos es un joven de diecisiete años con fama de estrella de cine, rizos rubios y cara de bebé. Ya en su primera adolescencia manifestó su verdadera vocación: ser un ladrón. Cuando conoce a Ramón en su nueva escuela, Carlitos se siente inmediatamente atraído por él y quiere llamar su atención. Juntos se embarcarán en un viaje de descubrimientos, amor y crimen. Debido a su apariencia angelical, la prensa llama a Carlitos ""El ángel de la muerte"". Llama la atención por su belleza, y se convierte en una celebridad de la noche a la mañana. En total se cree que cometió más de cuarenta robos y once asesinatos. Hoy, después de más de cuarenta y cinco años en la cárcel, Carlos Robledo Puch es el preso que más tiempo lleva en prisión en la historia de Argentina. (FILMAFFINITY)"
The Big Sick,119,"Romance, Drama, Comedia","Cuenta la historia real de Kumail y Emily, una pareja que se conoce en un espectáculo de comedia. Cuando parecía que todo iba a quedarse en un encuentro de una noche, su relación empieza a avanzar a pesar de las diferencias culturales, complicando las vidas de todos por las expectativas que tenían los padres de Kumail, musulmanes estrictos. (FILMAFFINITY)"
The Ballad of Buster Scruggs,132,"Western, Drama, Comedia, Musical","Antología de seis capítulos, cada uno enfocado desde una perspectiva distinta con respecto a la frontera norteamericana y a los peculiares personajes que habitan en sus alrededores. Cada parte cuenta una historia distinta basada en las convenciones del Lejano Oeste de los Estados Unidos. (FILMAFFINITY)"
Viva,100,Drama,"Jesús, un chico cubano de 18 años, intenta encontrar su verdadera identidad. Sobrevive peinando a señoras del barrio y arreglando pelucas en un cabaret de La Habana. Pero su vida cambia por completo cuando su padre, un famoso boxeador al que daban por muerto, sale de la cárcel y regresa para vivir con él. Desde ese momento, lucharán por volver a ser padre e hijo. (FILMAFFINITY)"
La consagración de la primavera,110,Drama,"Laura (Valeria Sorolla) acaba de llegar a Madrid para instalarse en un Colegio Mayor y estudiar la carrera de Químicas. Sola y casi sin dinero, intenta adaptarse a su vida universitaria mientras lidia con sus inseguridades. Una noche, por casualidad, conoce a David (Telmo Irureta), un chico con parálisis cerebral que vive con su madre, Isabel (Emma Suárez). Laura inicia con ellos una relación de confianza mutua que le ayuda a superar sus complejos y afrontar una nueva etapa hacia la madurez. La consagración de la primavera es una historia sobre ese momento vital en el que todo es posible y sobre cómo el encuentro más inesperado nos puede cambiar la vida."
The Glass Castle,127,Drama,"Una joven crece en una familia disfuncional de nómadas inconformistas, con una madre excéntrica y un padre alcohólico que distrae a los niños con su imaginación para que ignoren su pobreza. Basada en las memorias de Jeanette Walls. (FILMAFFINITY)"
Stan & Ollie,97,"Drama, Comedia","Stan (Steve Coogan) y Ollie (John C. Reilly), conocidos en castellano como ""El gordo y el flaco"", se embarcan en su gira de despedida ahora que su época dorada parece haber quedado anclada en el pasado. Con la ayuda de sus respectivas mujeres, Lucille (Shirley Henderson) e Ida (Nina Arianda), ambos logran conquistar al público de las salas de Reino Unido gracias a su peculiar manera de interpretar y de entender el mundo. Este biopic ahonda en la personalidad de ambos personajes y en las circunstancias personales que les convirtieron en figuras cómicas de leyenda. (FILMAFFINITY)"
