Título,Título Original,Año,Duración,Género,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Sinopsis,Enlace
Bajo la misma estrella,The Fault in Our Stars,2014,125,"Romance, Drama",Estados Unidos,"6,6",18.871,Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern, Sam Trammell, Willem Dafoe, Lotte Verbeek, Ana Dela Cruz","A pesar de que un milagro médico ha conseguido reducir su tumor y darle unos años más de vida, la adolescente Hazel (Shailene Woodley) siempre se ha considerado una enferma terminal. Sin embargo, cuando el joven Gus (Ansel Elgort) entra a formar parte del grupo de ayuda para enfermos de cáncer juvenil, la vida de Hazel se transforma por completo. (FILMAFFINITY)",https://www.filmaffinity.com/es/film550582.html
Diamantes en bruto,Uncut Gems,2019,135,"Thriller, Drama",Estados Unidos,"6,6",19.657,"Ben Safdie, Joshua Safdie","Adam Sandler, Julia Fox, Kevin Garnett, Idina Menzel, Lakeith Stanfield, Eric Bogosian, Judd Hirsch, The Weeknd","Con las deudas amontonándose y los matones pisándole los talones, un deslenguado joyero de Nueva York lo arriesga todo con la esperanza de mantenerse a flote. Y vivo. (FILMAFFINITY)",https://www.filmaffinity.com/es/film360338.html
Los renglones torcidos de Dios,Los renglones torcidos de Dios,2022,154,"Intriga, Thriller, Drama",España,"6,6",20.525,Oriol Paulo,"Bárbara Lennie, Eduard Fernández, Loreto Mauleón, Pablo Derqui, Javier Beltrán, Samuel Soler, Federico Aguado, Lluís Soler","Alice, investigadora privada, ingresa en un hospital psiquiátrico simulando una paranoia. Su objetivo es recabar pruebas del caso en el que trabaja: la muerte de un interno en circunstancias poco claras. Sin embargo, la realidad a la que se enfrentará en su encierro superará sus expectativas y pondrá en duda su propia cordura. Un mundo desconocido y apasionante se mostrará ante sus ojos. Adaptación de la novela homónima de Torcuato Luca de Tena.",https://www.filmaffinity.com/es/film927664.html
Un lugar tranquilo,A Quiet Place,2018,95,"Terror, Intriga, Thriller, Fantástico",Estados Unidos,"6,6",35.511,John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe, Cade Woodward, Leon Russom, Doris McCarthy","Sigue la historia de una familia que vive en una casa en el bosque cuidándose de no emitir ningún sonido. Si no te escuchan, no pueden cazarte... (FILMAFFINITY)",https://www.filmaffinity.com/es/film594338.html
Gru 2. Mi villano favorito,Despicable Me 2,2013,98,"Animación, Comedia, Ciencia ficción, Infantil",Estados Unidos,"6,6",38.801,"Pierre Coffin, Chris Renaud","Steve Carell, Kristen Wiig, Miranda Cosgrove, Elsie Fisher, Dana Gaier, Benjamin Bratt, Steve Coogan","Ahora que el incansable y emprendedor Gru ha dejado atrás una vida dedicada a las fechorías para criar a Margo, Edith y Agnes, dispone de mucho tiempo libre para disfrutarlo con ellas, el Dr. Nefario y los minions. Pero, justo cuando empieza a adaptarse a su papel de hombre de familia, una organización mundial ultrasecreta dedicada a la lucha contra el mal llama a su puerta. Junto con su nueva compañera de aventuras, Lucy Wilde, Gru tendrá que descubrir quién es el responsable de un espectacular y malévolo plan y llevarlo ante la justicia. Y es que hace falta echar mano del mayor ex-villano del mundo para atrapar a quien aspira a ocupar ese lugar. (FILMAFFINITY)",https://www.filmaffinity.com/es/film655560.html
La desaparición de Eleanor Rigby: Ella,The Disappearance of Eleanor Rigby: Her,2013,95,"Romance, Drama",Estados Unidos,"6,6",1.328,Ned Benson,"Jessica Chastain, James McAvoy, Ciarán Hinds, Viola Davis, Bill Hader, Nina Arianda, Isabelle Huppert, Nikki M. James","Crónica de la crisis de un matrimonio analizada en un díptico de dos películas que analiza la relación desde dos puntos de vista: el del marido (McAvoy) y el de la mujer (Chastain). 'The Disappearance of Eleanor Rigby: Her' y 'The Disappearance of Eleanor Rigby: Him' exploran la relación de una pareja de Nueva York en un momento difícil en su matrimonio, tanto desde el punto de vista del marido -dueño de un restaurante-, como desde el punto de vista de la esposa. (FILMAFFINITY)",https://www.filmaffinity.com/es/film612447.html
Los reyes del mundo,Los reyes del mundo,2022,111,Drama,Colombia,"6,6",1.789,Laura Mora Ortega,"Carlos Andrés Castañeda, Davison Florez, Cristian Campaña, Brahian Acevedo, Cristian David Duque, Violeta Zabala, Jacqueline Duque","“Un día todos los hombres se quedaron dormidos… Y los cercos de la tierra, ardieron”. Una historia sobre la desobediencia, la amistad y la dignidad que existe en la resistencia. Rá, Culebro, Sere, Winny y Nano. Cinco chicos de la calle de Medellín. Todos huérfanos. Cinco reyes sin reino, sin ley, sin familia, emprenden un viaje en búsqueda de la tierra prometida. Emprenden el camino para recuperar un pedacito de tierra que las autoridades han restituido a uno de ellos, después de que los paramilitares se la hubieran arrebatado, años atrás, a su abuela, ya fallecida. Un cuento subversivo a través de un clan salvaje y entrañable, que transita entre realidad y delirio. Un viaje hacia la nada, donde pasa todo.",https://www.filmaffinity.com/es/film975411.html
La mirada del hijo (Madre e hijo),Poziția copilului (Child's Pose),2013,112,Drama,Rumanía,"6,6",2.002,Calin Peter Netzer,"Luminita Gheorghiu, Bogdan Dumitrache, Florin Zamfirescu, Natasa Raab, Ilinca Goia, Adrian Titieni, Vlad Ivanov","Una noche, un hombre de 32 años, que conduce su coche a una velocidad muy superior a la establecida, atropella a un niño que muere poco después. Al temerario conductor le espera una pena de prisión de entre tres y quince años, pero su madre, una arquitecta de la clase alta de Rumanía, intentará evitarlo por todos los medios. (FILMAFFINITY)",https://www.filmaffinity.com/es/film423275.html
The Innocents,De uskyldige,2021,113,"Fantástico, Terror, Thriller",Noruega,"6,6",5.669,Eskil Vogt,"Rakel Lenora Fløttum, Sam Ashraf, Alva Brynsmo Ramstad, Kadra Yusuf, Ellen Dorrit Petersen, Morten Svartveit, Mina Yasmin Bremseth Asheim, Marius Kolbenstvedt","Durante las vacaciones de verano, la familia de Ida, de 9 años, se instala en un barrio de los suburbios de Oslo. Con su hermana, la niña trata de ajustarse a su nuevo entorno y se hace amiga de otros dos niños. Lejos de los adultos, los cuatro amigos descubren que poseen poderes sorprendentes, que incluyen inocentemente en sus juegos. Mientras exploran sus nuevos talentos en un bosque y un parque cercanos, su entretenimiento comienza a adquirir poco a poco tintes inquietantes y empiezan a ocurrir sucesos extraños. (FILMAFFINITY)",https://www.filmaffinity.com/es/film897184.html
El mayordomo,Lee Daniels' The Butler,2013,132,Drama,Estados Unidos,"6,6",25.715,Lee Daniels,"Forest Whitaker, Oprah Winfrey, David Oyelowo, Cuba Gooding Jr., John Cusack, Terrence Howard, Lenny Kravitz, James Marsden","Cecil Gaines (Forest Whitaker) fue mayordomo jefe de la Casa Blanca durante el mandato de ocho presidentes (1952-1986), lo que le permitió ser testigo directo de la historia política y racial de los Estados Unidos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film647978.html
Blue Jean,Blue Jean,2022,97,Drama,Reino Unido,"6,6",1.105,Georgia Oakley,"Rosy McEwen, Kerrie Hayes, Lydia Page, Lucy Halliday, Stacy Abalogun, Deka Walmsley, Gavin Kitchen, Farrah Cave","En 1988, una profesora homosexual se ve enfrentada a un grave problema cuando una nueva estudiante amenaza con revelar su secreto. (FILMAFFINITY)",https://www.filmaffinity.com/es/film185176.html
Lobo,Theeb,2014,100,"Aventuras, Drama, Thriller",Jordania,"6,6",1.221,Naji Abu Nowar,"Jacir Eid, Hassan Mutlag, Hussein Salameh, Marji Audeh, Jack Fox","Arabia, 1916. Theeb -lobo en árabe- vive con su tribu beduina en un rincón olvidado del Imperio Otomano. Después de haber perdido recientemente a su padre, Hussein debe criar a su hermano Theeb. Sus vidas son interrumpidas con la llegada de un oficial del ejército británico y su guía en una misión misteriosa. Incapaz de negar su ayuda al británico por temor a deshonrar la reputación de su difunto padre, Hussein se compromete a acompañarles a su destino, un pozo de agua en la antigua ruta de peregrinación a La Meca. Temeroso de perder a su hermano, Theeb persigue a Hussein y se embarca en un peligroso viaje a través del desierto de Arabia que, desde el estallido de la Primera Guerra Mundial, se ha convertido en el coto de caza de mercenarios otomanos, revolucionarios árabes y asaltantes beduinos marginados. (FILMAFFINITY)",https://www.filmaffinity.com/es/film523944.html
Aguas tranquilas,Futatsume no mado (Still the Water),2014,110,Drama,Japón,"6,6",1.400,Naomi Kawase,"Nijiro Murakami, Jun Yoshinaga, Makiko Watanabe, Hideo Sakaki, Tetta Sugimoto, Miyuki Matsuda, Jun Murakami, Fujio Tokita","Los habitantes de la isla de Amami, viven en armonía con la naturaleza, están convencidos de que en cada árbol, cada piedra y cada planta vive un dios. Una tarde de verano, Kaito descubre el cuerpo de un hombre flotando en el mar. Su amiga Kyoko le ayudará a descifrar el misterio. Crecerán juntos, aprendiendo a ser adultos, descubriendo los ciclos de la vida, la muerte y el amor.  (FILMAFFINITY)",https://www.filmaffinity.com/es/film507577.html
Lean on Pete,Lean on Pete,2017,121,Drama,Reino Unido,"6,6",1.462,Andrew Haigh,"Charlie Plummer, Travis Fimmel, Steve Buscemi, Chloë Sevigny, Steve Zahn, Thomas Mann, Amy Seimetz, Justin Rain",Charlie Thompson es un chico de quince años que consigue un empleo de verano trabajando para un entrenador de caballos e inicia una amistad con un debilitado caballo de carreras.,https://www.filmaffinity.com/es/film935056.html
Amante por un día,L'amant d'un jour (Lover for a Day),2017,76,Drama,Francia,"6,6",1.678,Philippe Garrel,"Eric Caravaca, Esther Garrel, Louise Chevillotte, Paul Toucang, Félix Kysyl, Laetitia Spigarelli","Después de una ruptura, una chica de 23 años regresa a casa de su padre. Allí descubre que éste tiene una relación con una joven de su misma edad. (FILMAFFINITY)",https://www.filmaffinity.com/es/film448883.html
Palmer,Palmer,2021,110,Drama,Estados Unidos,"6,6",2.219,Fisher Stevens,"Justin Timberlake, Ryder Allen, Juno Temple, Alisha Wainwright, June Squibb, Dean Winters, Wynn Everett, Jesse C. Boyd","Tras doce años en prisión, Palmer, un ex jugador de fútbol, vuelve a casa para rehacer su vida. Mientras se adapta a su nueva realidad, entabla amistad con un niño abandonado, pero su pasado le persigue.",https://www.filmaffinity.com/es/film544668.html
Un gato callejero llamado Bob,A Street Cat Named Bob,2016,103,Drama,Reino Unido,"6,6",2.262,Roger Spottiswoode,"Luke Treadaway, Ruta Gedmintas, Joanne Froggatt, Anthony Head, Darren Evans, Tony Jayawardena, Adam Riches, Llewella Gideon","Un día James Bowen, un músico callejero de Londres, se encuentra en su apartamento un gato herido abandonado al que llama Bob. Basado en un bestseller del propio James Bowen (""A Street Cat Named Bob, and How he Saved my Life"") que estuvo en Inglaterra 52 semanas consecutivas en la lista de los más vendidos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film360344.html
Brigsby Bear,Brigsby Bear,2017,97,"Comedia, Drama",Estados Unidos,"6,6",2.610,Dave McCary,"Kyle Mooney, Matt Walsh, Michaela Watkins, Ryan Simpkins, Greg Kinnear, Claire Danes, Mark Hamill, Jane Adams","'Brigsby Bear Adventures' es un programa de televisión infantil que tiene un solo espectador: James. Cuando el programa termina de golpe, la vida de James cambia para siempre, y éste se propone terminar la historia él mismo. (FILMAFFINITY)",https://www.filmaffinity.com/es/film724359.html
En un barrio de Nueva York,In the Heights,2021,143,"Musical, Romance, Drama, Comedia",Estados Unidos,"6,6",2.708,Jon M. Chu,"Anthony Ramos, Corey Hawkins, Melissa Barrera, Leslie Grace, Jimmy Smits, Gregory Diaz IV, Stephanie Beatriz, Daphne Rubin-Vega","Basado en el musical de Broadway, sigue a un grupo de vecinos del barrio Washington Heights, en Nueva York. El principal es Usnavi (Anthony Ramos), el simpático dueño de una bodega, criado por su abuela, que sueña con volver algún día a su República Dominicana de origen; la abuela Claudia, que desempeña el rol de abuela para muchos de los vecinos del barrio; Vanessa, de quien Usnavi está perdidamente enamorado; y Nina, una vieja amiga de Usnavi que regresa al barrio después de mucho tiempo, llevándole noticias inesperadas a sus padres, quienes han estado ahorrando toda la vida para darle una mejor educación académica de la que ellos tuvieron.",https://www.filmaffinity.com/es/film970588.html
Remember,Remember,2015,95,Drama,Canadá,"6,6",2.709,Atom Egoyan,"Christopher Plummer, Dean Norris, Martin Landau, Henry Czerny, Jürgen Prochnow, Bruno Ganz, Peter DaCunha, James Cade","Zev (Christopher Plummer) es un judío superviviente del Holocausto ya de 90 años y con alzheimer que busca a Rudy, un criminal de guerra nazi que fue responsable de la muerte de su familia, con el objetivo de asesinarlo. (FILMAFFINITY)",https://www.filmaffinity.com/es/film253783.html
‘71,‘71,2014,99,"Acción, Drama",Reino Unido,"6,6",8.484,Yann Demange,"Jack O'Connell, Paul Anderson, Valene Kane, Sean Harris, Barry Keoghan, Sam Reid, Charlie Murphy, Richard Dormer","Corre el año 1971, y la tensión social en Irlanda del Norte está escalando hacia una situación casi de guerra civil. Tras un motín y un enfrentamiento muy violento entre vecinos de un barrio y el ejército, un joven soldado británico con poca experiencia, Gary, se extravía en las peligrosas calles de Belfast, donde el conflicto del IRA está en plena ebullición, y donde patrullan unidades paramilitares y bandas radicales callejeras. (FILMAFFINITY)",https://www.filmaffinity.com/es/film902165.html
Loreak (Flores),Loreak,2014,99,Drama,España,"6,6",9.350,"Jon Garaño, José Mari Goenaga","Nagore Aranburu, Itziar Aizpuru, Itziar Ituño, Josean Bengoetxea, Ane Gabaraín, Egoitz Lasa, Jox Berasategui, Gotzon Sánchez, José Ramón Soroiz","La vida de Ane da un giro cuando semanalmente comienza a recibir de forma anónima un ramo de flores en su casa. Por su parte las vidas de Lourdes y Tere también se ven afectadas por unas misteriosas flores. Un desconocido deposita cada semana un ramo en memoria de alguien que fue importante en sus vidas. Esta es la historia de tres mujeres, tres vidas alteradas por la mera presencia de unas flores. Flores que harán brotar en ellas sentimientos que parecían olvidados… Pero al fin y al cabo, no son más que flores. (FILMAFFINITY)",https://www.filmaffinity.com/es/film810299.html
La reina de Katwe,Queen of Katwe,2016,124,Drama,Estados Unidos,"6,6",1.302,Mira Nair,"Lupita Nyong'o, David Oyelowo, Madina Nalwanga, Charity Rose Pimer, Ntare Mwine, Taryn Kyaze, Esther Tebandeke, Peter Odeke, Nikita Waligwa","Biopic de Phiona Mutesi, una joven ugandesa prodigio del ajedrez. Con 11 años ganó el campeonato juvenil de su país. Poco después pudo salir por primera vez de Uganda para ir a un torneo en Sudán. Y llegó a competir en la Olimpiada Mundial de la disciplina. (FILMAFFINITY)",https://www.filmaffinity.com/es/film604566.html
A Hard Day,Kkeut-kkaji ganda,2014,111,"Thriller, Drama, Acción",Corea del Sur,"6,6",1.606,Kim Seong-hoon,"Lee Sun-Kyun, Cho Jin-woong, Jeong Man-shik, Shin Jung-geun, Shin Dong-mi, Park Bo-gum, Dong-yeong Kim, Ju Seok-tae","Volviendo del entierro de su madre, el agente Gun-Su atropella a alguien. Aturdido, decide esconder el cadáver en la tumba de su madre. Los problemas, sin embargo, no quedan enterrados: uno de sus compañeros investiga a la víctima y un testigo no tardará en aparecer. (FILMAFFINITY)",https://www.filmaffinity.com/es/film460177.html
